,Compound ID,SMILES,LogP,TPSA,N_RotatableBonds,AromaticBonds,HeavyAtomCount,RingCount,N_H_Donors,N_H_Acceptors,pLC50,pLC50_bin
2,compound-3,CCCCC(=O)CCCC,2.935900000000001,17.07,6,0,10,0,0,1,3.662,2.0
3,compound-4,CCOc1ccc(C=O)cc1,1.8978,26.3,3,1,11,1,0,2,3.728,2.0
5,compound-6,Cc1c[nH]c2ccccc12,2.4763200000000003,15.79,0,2,10,2,1,0,4.171,2.0
6,compound-7,CCCCN(C=O)CCCC,2.045,20.31,7,0,11,0,0,1,3.246,2.0
8,compound-9,COC(=O)c1ccc(Cl)cc1[N+](=O)[O-],2.0348,69.44,2,1,14,1,0,4,3.891,2.0
9,compound-10,NC(=O)c1cccc(Br)c1,1.548,43.09,1,1,10,1,1,1,3.334,2.0
10,compound-11,Nc1ccc(Br)cn1,1.4263,38.91,0,1,8,1,1,2,2.99,2.0
11,compound-12,C=CCNc1ccccc1,2.2845000000000004,12.03,3,1,10,1,1,1,3.569,2.0
14,compound-15,Cc1ccccc1O,1.70062,20.23,0,1,8,1,1,1,3.889,2.0
17,compound-18,Cc1cc(C)c(C#N)c(O)n1,1.27572,56.91,0,1,11,1,1,3,2.975,2.0
18,compound-19,ClC(Cl)Cl,1.9864,0.0,0,0,4,0,0,0,3.228,2.0
19,compound-20,COc1ccc(C=O)c(OC)c1,1.5162999999999998,35.53,3,1,12,1,0,3,3.917,2.0
30,compound-31,CC(C)(O)CCc1ccccc1,2.3901000000000003,20.23,3,1,12,1,1,1,3.393,2.0
31,compound-32,Cn1c(=O)c2c(ncn2C)n(C)c1=O,-1.029300000000001,61.82,0,2,14,2,0,6,3.109,2.0
33,compound-34,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,1.1849999999999998,75.27000000000001,4,0,16,1,2,3,3.423,2.0
35,compound-36,C=C[C@H](O)CCC,1.3334,20.23,3,0,7,0,1,1,3.518,2.0
36,compound-37,O=C(c1ccccc1)c1ccncc1,2.3126,29.96,2,2,14,2,0,2,3.25,2.0
41,compound-42,C#CCCO,0.002,20.23,1,0,5,0,1,1,3.288,2.0
43,compound-44,O=CN(c1ccccc1)c1ccccc1,2.9811000000000014,20.31,3,2,15,2,0,1,3.812,2.0
48,compound-49,C=C(C)C(=O)OC(C)C,1.5141,26.3,2,0,9,0,0,2,3.528,2.0
50,compound-51,COc1cccc(O)c1,1.4007999999999998,29.46,1,1,9,1,1,2,3.225,2.0
52,compound-53,O=[N+]([O-])c1ncccc1O,0.6954,76.26,1,1,10,1,1,4,2.924,2.0
53,compound-54,O[C@H]1CCCC[C@@H]1c1ccccc1,2.7051000000000007,20.23,1,1,13,2,1,1,3.599,2.0
55,compound-56,COC(=O)c1ccc([N+](=O)[O-])cc1,1.3814,69.44,2,1,13,1,0,4,3.881,2.0
56,compound-57,CCCCCCO,1.559,20.23,4,0,7,0,1,1,3.02,2.0
57,compound-58,C#C[C@](C)(O)c1ccccc1,1.5273,20.23,1,1,11,1,1,1,3.112,2.0
61,compound-62,CC[C@H](C)n1c(=O)[nH]c(C)c(Br)c1=O,1.57852,54.86,2,1,14,1,1,3,3.148,2.0
62,compound-63,NC(=O)c1ccccc1O,0.4911,63.32000000000001,1,1,10,1,2,2,3.133,2.0
63,compound-64,NCc1ccccc1,1.1453,26.02,1,1,8,1,1,1,3.021,2.0
64,compound-65,C=C(C)C(=O)OC[C@H]1CCCO1,1.2847000000000002,35.53,3,0,12,1,0,3,3.691,2.0
65,compound-66,Cc1ccccc1F,2.13412,0.0,0,1,8,1,0,0,3.754,2.0
68,compound-69,CCCCCC=O,1.7656,17.07,4,0,7,0,0,1,3.758,2.0
71,compound-72,CCCOC(C)=O,0.9595,26.3,2,0,7,0,0,2,3.231,2.0
72,compound-73,BrC[C@@H]1CCCCO1,1.9504,9.23,1,0,8,1,0,1,2.941,2.0
74,compound-75,Cc1cccc(C)c1,2.30344,0.0,0,1,8,1,0,0,3.821,2.0
76,compound-77,ClCC(Cl)Cl,2.0289,0.0,1,0,5,0,0,0,3.213,2.0
78,compound-79,Nc1ccccc1,1.2688,26.02,0,1,7,1,1,1,2.948,2.0
79,compound-80,O=[N+]([O-])c1ccc(O)cc1,1.3003999999999998,63.370000000000005,1,1,10,1,1,3,3.492,2.0
82,compound-83,Cc1ccc(C)cc1,2.30344,0.0,0,1,8,1,0,0,4.078,2.0
85,compound-86,CC1(C)O[C@]2(C)CC[C@H]1CC2,2.7441000000000013,9.23,0,0,11,3,0,1,3.18,2.0
86,compound-87,CCCCCC[C@H]1CCC(=O)O1,2.6624000000000008,26.3,5,0,12,1,0,2,3.976,2.0
92,compound-93,O=Cc1ccccc1,1.4991,17.07,1,1,8,1,0,1,4.032,2.0
94,compound-95,Nc1ccc(F)cc1C(F)(F)F,2.4267000000000003,26.02,0,1,12,1,1,1,3.782,2.0
95,compound-96,CCN(CC)c1ccccc1,2.532800000000001,3.24,3,1,11,1,0,1,3.959,2.0
96,compound-97,N[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2,1.9139,26.02,0,0,11,4,1,1,3.782,2.0
97,compound-98,CCSCCSCC,2.4926000000000004,0.0,5,0,8,0,0,2,3.397,2.0
101,compound-102,O=P(c1ccccc1)(c1ccccc1)c1ccccc1,3.3260000000000014,17.07,3,3,20,3,0,1,3.715,2.0
104,compound-105,O=[N+]([O-])c1ccc(F)cc1,1.7338999999999998,43.14,1,1,10,1,0,2,3.696,2.0
105,compound-106,CC#CCO,0.002,20.23,0,0,5,0,1,1,3.841,2.0
109,compound-110,Cc1cc(Cl)nc(N)n1,1.02062,51.8,0,1,9,1,1,3,3.008,2.0
110,compound-111,CCCC=O,0.9854,17.07,2,0,5,0,0,1,3.69,2.0
112,compound-113,CN(C)c1ccccn1,1.1476,16.130000000000003,1,1,9,1,0,2,2.983,2.0
113,compound-114,c1ccc2occc2c1,2.4328000000000003,13.14,0,2,9,2,0,1,3.924,2.0
114,compound-115,ClCCN1CCCC1,1.321,3.24,2,0,8,1,0,1,2.941,2.0
115,compound-116,Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],1.0852,112.3,2,1,13,1,1,5,4.092,2.0
119,compound-120,CCCCBr,2.1814,0.0,2,0,5,0,0,0,3.572,2.0
122,compound-123,Cc1cc(C)c(O)c(C)c1,2.3174600000000005,20.23,0,1,10,1,1,1,4.02,2.0
123,compound-124,Nc1c(F)c(F)c(F)c(F)c1F,1.9643,26.02,0,1,12,1,1,1,3.693,2.0
124,compound-125,C[C@H](Cl)CCl,1.8525,0.0,1,0,5,0,0,0,2.951,2.0
125,compound-126,O=Cc1ccccc1[N+](=O)[O-],1.4073,60.21,2,1,11,1,0,3,4.021,2.0
127,compound-128,Cl[C@@H]1CCCC[C@H]1Cl,2.7752000000000008,0.0,0,0,8,1,0,0,3.92,2.0
128,compound-129,CCOP(=S)(OCC)Oc1ccc([S@@](C)=O)cc1,3.1003000000000016,44.760000000000005,7,1,18,1,0,5,3.854,2.0
129,compound-130,CCc1ccc(N)cc1,1.8312,26.02,1,1,9,1,1,1,3.22,2.0
138,compound-139,C=C(C)C(=O)OCCOCC,1.1422,35.53,5,0,11,0,0,3,3.757,2.0
142,compound-143,ClC=C(Cl)Cl,2.5017000000000005,0.0,0,0,5,0,0,0,3.474,2.0
144,compound-145,CCOC(=O)c1ccccc1O,1.5689,46.53,2,1,12,1,1,3,3.914,2.0
147,compound-148,ClC(Cl)C(Cl)Cl,2.5938000000000008,0.0,1,0,6,0,0,0,3.917,2.0
148,compound-149,CNc1ccc(F)cc1,1.8674,12.03,1,1,9,1,1,1,3.513,2.0
156,compound-157,COc1ccc(O)cc1,1.4007999999999998,29.46,1,1,9,1,1,2,3.053,2.0
157,compound-158,C/C=C/C=C/C,2.1386000000000003,0.0,1,0,6,0,0,0,3.614,2.0
160,compound-161,Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],1.81142,86.28,2,1,13,1,0,4,3.876,2.0
162,compound-163,C#C[C@@H](C)O,0.0003999999999999,20.23,0,0,5,0,1,1,3.777,2.0
164,compound-165,Nc1ccc(O)c([N+](=O)[O-])c1,0.8826,89.39,1,1,11,1,2,4,3.629,2.0
168,compound-169,COc1ccc(C(C)=O)c(O)c1,1.6034,46.53,2,1,12,1,1,3,3.379,2.0
170,compound-171,CN(C)c1ccccc1,1.7526,3.24,1,1,9,1,0,1,3.19,2.0
173,compound-174,c1ccccc1,1.6866,0.0,0,1,6,1,0,0,3.502,2.0
175,compound-176,N#Cc1cc(Cl)ccc1N,1.79388,49.81,0,1,10,1,1,2,3.727,2.0
176,compound-177,Nc1ccc([N+](=O)[O-])cc1,1.1769999999999998,69.16,1,1,10,1,1,3,3.043,2.0
177,compound-178,COC(=O)c1ccc(C#N)cc1,1.34488,50.09,1,1,12,1,0,3,3.537,2.0
180,compound-181,O=[N+]([O-])c1cccc(Cl)c1,2.2482000000000006,43.14,1,1,10,1,0,2,3.924,2.0
182,compound-183,ClCCCCCCl,2.6343000000000014,0.0,4,0,7,0,0,0,3.746,2.0
183,compound-184,CCCSCCC,2.539600000000001,0.0,4,0,7,0,0,1,3.735,2.0
186,compound-187,CCCC[C@@H](CC)CO,2.1951,20.23,5,0,9,0,1,1,3.664,2.0
187,compound-188,CCCc1ccc(O)cc1,2.3447000000000005,20.23,2,1,10,1,1,1,4.093,2.0
189,compound-190,c1cc(CCc2ccncc2)ccn1,2.2618,25.78,3,2,14,2,0,2,3.086,2.0
195,compound-196,Cc1ccc(N)c(Cl)c1,2.23062,26.02,0,1,9,1,1,1,3.596,2.0
197,compound-198,CCc1ccc(O)cc1,1.9546,20.23,1,1,9,1,1,1,4.07,2.0
199,compound-200,C=CCc1ccccc1O,2.1207,20.23,2,1,10,1,1,1,3.951,2.0
201,compound-202,NC(=O)c1ccc([N+](=O)[O-])cc1,0.6937,86.23,2,1,12,1,1,3,3.097,2.0
202,compound-203,C#C[C@](C)(O)CCC(C)C,1.8068,20.23,3,0,10,0,1,1,3.457,2.0
207,compound-208,CCCCCC(C)=O,2.1557000000000004,17.07,4,0,8,0,0,1,2.939,2.0
209,compound-210,N#Cc1cccc(C(F)(F)F)c1,2.5770800000000005,23.79,0,1,12,1,0,1,3.555,2.0
212,compound-213,COc1cccc(OC)c1C,2.01222,18.46,2,1,11,1,0,2,3.877,2.0
215,compound-216,O=Cc1cccnc1,0.8940999999999999,29.96,1,1,8,1,0,2,3.815,2.0
216,compound-217,CC(=O)C(C)(C)C,1.6215,17.07,0,0,7,0,0,1,3.061,2.0
218,compound-219,CCCCOC(C)=O,1.3496,26.3,3,0,8,0,0,2,3.81,2.0
219,compound-220,C=CC[C@H](O)C=C,1.1094,20.23,3,0,7,0,1,1,3.411,2.0
220,compound-221,CCCCCCCN,1.9155,26.02,5,0,8,0,1,1,3.723,2.0
222,compound-223,COC(=O)c1cc(Cl)ccc1Cl,2.780000000000001,26.3,1,1,12,1,0,2,4.166,2.0
224,compound-225,O=C(c1ccccc1)c1ccccc1,2.917600000000001,17.07,2,2,14,2,0,1,4.093,2.0
225,compound-226,CCOC(=O)c1ccccc1C(=O)OCC,2.04,52.60000000000001,4,1,16,1,0,4,3.845,2.0
227,compound-228,O=Cc1ccc([N+](=O)[O-])cc1,1.4073,60.21,2,1,11,1,0,3,4.175,2.0
229,compound-230,Cc1ccc(O)c(C)c1,2.00904,20.23,0,1,9,1,1,1,3.866,2.0
238,compound-239,CC1(C)CC(=O)CC(=O)C1,1.3347,34.14,0,0,10,1,0,2,4.002,2.0
239,compound-240,CCC(=O)c1ccc(N)cc1,1.8615,43.09,2,1,11,1,1,2,3.009,2.0
240,compound-241,CCN(CC)c1ccc(C=O)cc1,2.3453,20.31,4,1,13,1,0,2,3.87,2.0
248,compound-249,Cc1cccc([N+](=O)[O-])c1,1.90322,43.14,1,1,10,1,0,2,3.728,2.0
262,compound-263,O=[N+]([O-])c1ccccc1,1.5948,43.14,1,1,9,1,0,2,3.015,2.0
266,compound-267,Oc1ccccc1,1.3922,20.23,0,1,7,1,1,1,3.46,2.0
267,compound-268,OCCCl,0.2174999999999999,20.23,1,0,4,0,1,1,3.176,2.0
268,compound-269,CCc1ccc(C)nc1,1.95242,12.89,1,1,9,1,0,1,3.174,2.0
269,compound-270,COc1cc(OC)c(OC)cc1C=O,1.5249,44.760000000000005,4,1,14,1,0,4,3.598,2.0
272,compound-273,c1ccc2c(c1)CCO2,1.6215,9.23,0,1,9,2,0,1,3.167,2.0
273,compound-274,Nc1ccc([N+](=O)[O-])cc1Cl,1.8304,69.16,1,1,11,1,1,3,3.934,2.0
274,compound-275,O=C(c1ccc(Br)cc1)c1cccnc1,3.0751000000000017,29.96,2,2,15,2,0,2,4.109,2.0
275,compound-276,Oc1ccccc1Cl,2.0456,20.23,0,1,8,1,1,1,4.052,2.0
276,compound-277,Cc1ccccc1C=O,1.80752,17.07,1,1,9,1,0,1,3.356,2.0
278,compound-279,Nc1ccc(Cl)cc1,1.9222,26.02,0,1,8,1,1,1,3.609,2.0
279,compound-280,CCCCCCCO,1.9491,20.23,5,0,8,0,1,1,3.527,2.0
283,compound-284,Nc1ccc(Br)cc1,2.0313,26.02,0,1,8,1,1,1,3.559,2.0
285,compound-286,C=C(C)C(=C)C,2.1386000000000003,0.0,1,0,6,0,0,0,4.075,2.0
286,compound-287,c1ccoc1,1.2796,13.14,0,1,5,1,0,1,3.048,2.0
292,compound-293,CC(C)c1cccc(C(C)C)c1N,3.5156000000000027,26.02,2,1,13,1,1,1,4.064,2.0
293,compound-294,C#CC[C@H](C)O,0.3905,20.23,1,0,6,0,1,1,3.38,2.0
300,compound-301,CC(Cl)(Cl)Cl,2.3765,0.0,0,0,5,0,0,0,3.45,2.0
303,compound-304,CCc1ccccc1,2.249000000000001,0.0,1,1,8,1,0,0,4.005,2.0
311,compound-312,O=[N+]([O-])c1ccccc1Cl,2.2482000000000006,43.14,1,1,10,1,0,2,3.73,2.0
314,compound-315,Cc1ccc(C)o1,1.89644,13.14,0,1,7,1,0,1,3.131,2.0
316,compound-317,O=[N+]([O-])c1cccc([N+](=O)[O-])c1O,1.2086000000000003,106.51000000000002,2,1,13,1,1,5,3.2994,2.0
317,compound-318,CCCCCCN,1.5254000000000003,26.02,4,0,7,0,1,1,3.253,2.0
318,compound-319,CCOCCOC(C)=O,0.586,35.53,4,0,9,0,0,3,3.496,2.0
321,compound-322,O=S(Cc1ccccc1)Cc1ccccc1,3.1355000000000013,17.07,4,2,16,2,0,1,3.459,2.0
324,compound-325,COc1cc(C=O)ccc1O,1.2133,46.53,2,1,11,1,1,3,3.259,2.0
325,compound-326,CCCCCCCCO,2.3392,20.23,6,0,9,0,1,1,3.983,2.0
326,compound-327,Cc1ccccc1C#N,1.8667,23.79,0,1,9,1,0,1,3.418,2.0
331,compound-332,NC(=O)c1ccc(Cl)cc1Cl,2.0923,43.09,1,1,11,1,1,1,3.298,2.0
332,compound-333,CC(C)(O)C(Cl)(Cl)Cl,2.127500000000001,20.23,0,0,8,0,1,1,3.119,2.0
335,compound-336,CC(C)(C)SC(C)(C)C,3.316600000000002,0.0,0,0,9,0,0,1,3.701,2.0
337,compound-338,CC(C)(C)CC(C)(C)N,2.1599000000000004,26.02,1,0,9,0,1,1,3.721,2.0
339,compound-340,Nc1ccc(F)cc1,1.4079000000000002,26.02,0,1,8,1,1,1,3.818,2.0
341,compound-342,CCOc1ccc(N)c([N+](=O)[O-])c1,1.5757,78.39,3,1,13,1,1,4,3.846,2.0
346,compound-347,COc1ccccc1C(N)=O,0.7941,52.32,2,1,11,1,1,2,3.1,2.0
347,compound-348,Cc1ccc(O)cc1,1.70062,20.23,0,1,8,1,1,1,3.815,2.0
348,compound-349,CCN(CCO)c1cccc(C)c1,1.81362,23.47,4,1,13,1,1,2,3.53,2.0
352,compound-353,COC(=O)c1ccc(O)cc1O,0.8843999999999999,66.76,1,1,12,1,2,4,3.565,2.0
353,compound-354,CCCCOCCCC,2.603200000000001,9.23,6,0,9,0,0,1,3.606,2.0
356,compound-357,O=[N+]([O-])c1cccc([N+](=O)[O-])c1O,1.2086000000000003,106.51000000000002,2,1,13,1,1,5,3.666,2.0
357,compound-358,CCCCC=O,1.3755,17.07,3,0,6,0,0,1,3.824,2.0
359,compound-360,COc1ccc(C(C)=O)c(OC)c1OC,1.915,44.760000000000005,4,1,15,1,0,4,3.024,2.0
363,compound-364,CCCCCCCC(C)=O,2.935900000000001,17.07,6,0,10,0,0,1,3.971,2.0
370,compound-371,ClCC(Cl)CCl,2.0714,0.0,2,0,6,0,0,0,3.408,2.0
371,compound-372,ClCCCCCl,2.2442,0.0,3,0,6,0,0,0,3.391,2.0
372,compound-373,CCOc1cc(C=O)ccc1O,1.6034,46.53,3,1,12,1,1,3,3.278,2.0
373,compound-374,OCC(F)(F)F,0.5409999999999999,20.23,0,0,6,0,1,1,2.924,2.0
354,compound-355,CCCCCC,2.5866000000000007,0.0,3,0,6,0,0,0,4.538,3.0
206,compound-207,Nc1cccc(OCc2ccccc2)c1,2.8478000000000003,35.25,3,2,15,2,1,2,4.307,3.0
334,compound-335,c1ccc(Oc2ccccc2)cc1,3.478900000000002,9.23,2,2,13,2,0,1,4.629,3.0
51,compound-52,O=[N+]([O-])c1ccc([N+](=O)[O-])c(O)c1,1.2086000000000003,106.51000000000002,2,1,13,1,1,5,4.74,3.0
277,compound-278,C=Cc1ccccc1,2.3296,0.0,1,1,8,1,0,0,4.41,3.0
242,compound-243,CCSCCCCSCC,3.272800000000002,0.0,7,0,10,0,0,2,4.469,3.0
91,compound-92,Oc1cccc2ccccc12,2.5454,20.23,0,2,11,2,1,1,4.493,3.0
354,compound-355,CCCCCC,2.5866000000000007,0.0,3,0,6,0,0,0,4.538,3.0
305,compound-306,Oc1ccc(Cl)cc1Cl,2.6990000000000007,20.23,0,1,9,1,1,1,4.323,3.0
310,compound-311,O=[N+]([O-])c1ccc(O)cc1C(F)(F)F,2.3192000000000004,63.370000000000005,1,1,14,1,1,3,4.355,3.0
284,compound-285,Oc1c(Cl)cc(Cl)cc1Cl,3.3524000000000003,20.23,0,1,10,1,1,1,4.606,3.0
284,compound-285,Oc1c(Cl)cc(Cl)cc1Cl,3.3524000000000003,20.23,0,1,10,1,1,1,4.606,3.0
312,compound-313,Oc1ccc(/N=N/c2ccccc2)cc1,3.8076000000000025,44.95,2,2,15,2,1,3,5.229,3.0
345,compound-346,O=C(/C=C/C=C/c1ccc2c(c1)OCO2)N1CCCCC1,2.997200000000002,38.77,3,1,21,3,0,3,4.561,3.0
362,compound-363,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,3.5847200000000026,53.47,7,1,19,1,0,6,4.513,3.0
106,compound-107,COc1cccc(C=O)c1O,1.2133,46.53,2,1,11,1,1,3,4.801,3.0
20,compound-21,CCCSSCCC,3.187800000000002,0.0,5,0,8,0,0,2,4.759,3.0
99,compound-100,Nc1ccccc1Cl,1.9222,26.02,0,1,8,1,1,1,4.347,3.0
208,compound-209,BrCCCBr,2.166300000000001,0.0,2,0,5,0,0,0,4.985,3.0
16,compound-17,CCCCCCCCCCC(C)=O,4.106200000000004,17.07,9,0,13,0,0,1,5.194,3.0
312,compound-313,Oc1ccc(/N=N/c2ccccc2)cc1,3.8076000000000025,44.95,2,2,15,2,1,3,5.229,3.0
126,compound-127,CCCCCOCCCCC,3.383400000000002,9.23,8,0,11,0,0,1,4.703,3.0
152,compound-153,Cc1ccc(C)c(C)c1,2.611860000000001,0.0,0,1,9,1,0,0,4.192,3.0
16,compound-17,CCCCCCCCCCC(C)=O,4.106200000000004,17.07,9,0,13,0,0,1,5.194,3.0
247,compound-248,C=C[C@@H](Cl)CCl,2.0186,0.0,2,0,6,0,0,0,4.184,3.0
235,compound-236,C=CC(=O)OC[C@H](C)O,0.0963999999999998,46.53,3,0,9,0,1,3,4.59,3.0
91,compound-92,Oc1cccc2ccccc12,2.5454,20.23,0,2,11,2,1,1,4.493,3.0
139,compound-140,CC(C)(C)c1ccc(O)cc1,2.689700000000001,20.23,0,1,11,1,1,1,4.465,3.0
287,compound-288,c1ccc(Nc2ccccc2)cc1,3.430200000000002,12.03,2,2,13,2,1,1,4.65,3.0
231,compound-232,CC(=O)CC(=O)c1ccccc1,1.8484,34.14,3,1,12,1,0,2,5.169,3.0
99,compound-100,Nc1ccccc1Cl,1.9222,26.02,0,1,8,1,1,1,4.347,3.0
315,compound-316,O=Cc1c(F)c(F)c(F)c(F)c1F,2.1946000000000003,17.07,1,1,13,1,0,1,5.251,3.0
200,compound-201,CCCCCCCCCCN,3.0858000000000017,26.02,8,0,11,0,1,1,5.184,3.0
323,compound-324,CC(=O)/C=C/C1=C(C)CCCC1(C)C,3.6582000000000026,17.07,2,0,14,1,0,1,4.577,3.0
232,compound-233,Clc1ccc(Cl)cc1,2.9934000000000003,0.0,0,1,8,1,0,0,4.561,3.0
165,compound-166,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,1.2086,106.51000000000002,2,1,13,1,1,5,4.228,3.0
330,compound-331,CC(C)c1ccc(C=O)cc1,2.6225000000000005,17.07,2,1,11,1,0,1,4.35,3.0
