,Compound ID,SMILES,LogP,TPSA,N_RotatableBonds,AromaticBonds,HeavyAtomCount,RingCount,N_H_Donors,N_H_Acceptors,pLC50,pLC50_bin
235,compound-236,C=CC(=O)OC[C@H](C)O,0.0963999999999998,46.53,3,0,9,0,1,3,4.59,3.0
298,compound-299,Fc1ccc(Oc2ccc(F)cc2)cc1,3.757100000000002,9.23,2,2,15,2,0,1,5.261,3.0
51,compound-52,O=[N+]([O-])c1ccc([N+](=O)[O-])c(O)c1,1.2086000000000003,106.51000000000002,2,1,13,1,1,5,4.74,3.0
243,compound-244,C=CC(=O)OCCO,-0.2921,46.53,3,0,8,0,1,3,4.384,3.0
243,compound-244,C=CC(=O)OCCO,-0.2921,46.53,3,0,8,0,1,3,4.384,3.0
185,compound-186,CCCCOC(=O)CCC(=O)OCCCC,2.4532000000000007,52.60000000000001,9,0,16,0,0,4,4.713,3.0
243,compound-244,C=CC(=O)OCCO,-0.2921,46.53,3,0,8,0,1,3,4.384,3.0
205,compound-206,C=C(C)C(=O)OCc1ccccc1,2.3059000000000003,26.3,3,1,13,1,0,2,4.577,3.0
223,compound-224,COc1cc(O)c(C=O)c(OC)c1,1.2219,55.760000000000005,3,1,13,1,1,4,4.832,3.0
247,compound-248,C=C[C@@H](Cl)CCl,2.0186,0.0,2,0,6,0,0,0,4.184,3.0
20,compound-21,CCCSSCCC,3.187800000000002,0.0,5,0,8,0,0,2,4.759,3.0
349,compound-350,CC(C)SSC(C)C,3.184600000000001,0.0,3,0,8,0,0,2,4.257,3.0
205,compound-206,C=C(C)C(=O)OCc1ccccc1,2.3059000000000003,26.3,3,1,13,1,0,2,4.577,3.0
27,compound-28,C=C[C@](C)(O)CC/C=C(/C)CCC=C(C)C,4.396300000000004,20.23,7,0,16,0,1,1,5.192,3.0
91,compound-92,Oc1cccc2ccccc12,2.5454,20.23,0,2,11,2,1,1,4.493,3.0
281,compound-282,CCC(=O)Nc1ccc(Cl)c(Cl)c1,3.3419000000000016,29.1,2,1,13,1,1,1,4.405,3.0
153,compound-154,CCCCCCCCCCO,3.119400000000001,20.23,8,0,11,0,1,1,4.818,3.0
73,compound-74,CCCCOc1ccccc1,2.8655000000000017,9.23,4,1,11,1,0,1,4.416,3.0
21,compound-22,CC(=O)c1ccc(Cl)c([N+](=O)[O-])c1,2.4508,60.21,2,1,13,1,0,3,4.56,3.0
315,compound-316,O=Cc1c(F)c(F)c(F)c(F)c1F,2.1946000000000003,17.07,1,1,13,1,0,1,5.251,3.0
235,compound-236,C=CC(=O)OC[C@H](C)O,0.0963999999999998,46.53,3,0,9,0,1,3,4.59,3.0
47,compound-48,CNC(=O)Oc1ccccc1OC(C)C,2.192,47.56,3,1,15,1,1,3,4.376,3.0
34,compound-35,Clc1cccc(Cl)c1,2.9934000000000003,0.0,0,1,8,1,0,0,4.263,3.0
320,compound-321,CCCCCC[C@@H](C)N,2.3040000000000003,26.02,5,0,9,0,1,1,4.403,3.0
208,compound-209,BrCCCBr,2.166300000000001,0.0,2,0,5,0,0,0,4.985,3.0
16,compound-17,CCCCCCCCCCC(C)=O,4.106200000000004,17.07,9,0,13,0,0,1,5.194,3.0
306,compound-307,Nc1ccccc1C(=O)c1ccc(Cl)cc1,3.153200000000002,43.09,2,2,16,2,1,2,5.039,3.0
330,compound-331,CC(C)c1ccc(C=O)cc1,2.6225000000000005,17.07,2,1,11,1,0,1,4.35,3.0
235,compound-236,C=CC(=O)OC[C@H](C)O,0.0963999999999998,46.53,3,0,9,0,1,3,4.59,3.0
270,compound-271,CCC(C)(C)c1ccc(O)cc1,3.079800000000001,20.23,2,1,12,1,1,1,4.801,3.0
172,compound-173,C#C[C@H](O)CCCC,1.1707,20.23,3,0,8,0,1,1,4.804,3.0
32,compound-33,Brc1ccsc1,2.5106,0.0,0,1,6,1,0,1,4.421,3.0
185,compound-186,CCCCOC(=O)CCC(=O)OCCCC,2.4532000000000007,52.60000000000001,9,0,16,0,0,4,4.713,3.0
145,compound-146,CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,3.0869000000000018,32.34,1,1,14,1,1,1,4.215,3.0
294,compound-295,CCc1cccc(CC)c1N(COC)C(=O)CCl,2.9871000000000016,29.54,6,1,18,1,0,2,4.733,3.0
301,compound-302,Cc1ccc(Cl)c(Cl)c1,3.301820000000001,0.0,0,1,9,1,0,0,4.743,3.0
150,compound-151,O=Cc1ccc(Cl)cc1,2.1525,17.07,1,1,9,1,0,1,4.804,3.0
204,compound-205,CCCCCCBr,2.9616000000000016,0.0,4,0,7,0,0,0,4.68,3.0
362,compound-363,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,3.5847200000000026,53.47,7,1,19,1,0,6,4.513,3.0
21,compound-22,CC(=O)c1ccc(Cl)c([N+](=O)[O-])c1,2.4508,60.21,2,1,13,1,0,3,4.56,3.0
16,compound-17,CCCCCCCCCCC(C)=O,4.106200000000004,17.07,9,0,13,0,0,1,5.194,3.0
26,compound-27,CCCCCCCCN,2.3056,26.02,6,0,9,0,1,1,4.396,3.0
214,compound-215,Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,1.5170199999999996,106.51,2,1,14,1,1,5,5.059,3.0
368,compound-369,Brc1ccccc1Br,3.2116000000000007,0.0,0,1,8,1,0,0,4.764,3.0
21,compound-22,CC(=O)c1ccc(Cl)c([N+](=O)[O-])c1,2.4508,60.21,2,1,13,1,0,3,4.56,3.0
214,compound-215,Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,1.5170199999999996,106.51,2,1,14,1,1,5,5.059,3.0
334,compound-335,c1ccc(Oc2ccccc2)cc1,3.478900000000002,9.23,2,2,13,2,0,1,4.629,3.0
246,compound-247,COc1cccc(C=O)c1O,1.2133,46.53,2,1,11,1,1,3,4.3209,3.0
73,compound-74,CCCCOc1ccccc1,2.8655000000000017,9.23,4,1,11,1,0,1,4.416,3.0
320,compound-321,CCCCCC[C@@H](C)N,2.3040000000000003,26.02,5,0,9,0,1,1,4.403,3.0
172,compound-173,C#C[C@H](O)CCCC,1.1707,20.23,3,0,8,0,1,1,4.804,3.0
140,compound-141,CC(=O)c1ccc(Cl)c(Cl)c1Cl,3.849400000000001,17.07,1,1,12,1,0,1,5.048,3.0
282,compound-283,CN1CCC[C@@H]1c1cccnc1.CN1CCC[C@@H]1c1cccnc1.O=S(=O)(O)O,3.043800000000001,106.86,2,2,29,4,2,6,4.486,3.0
243,compound-244,C=CC(=O)OCCO,-0.2921,46.53,3,0,8,0,1,3,4.384,3.0
345,compound-346,O=C(/C=C/C=C/c1ccc2c(c1)OCO2)N1CCCCC1,2.997200000000002,38.77,3,1,21,3,0,3,4.561,3.0
47,compound-48,CNC(=O)Oc1ccccc1OC(C)C,2.192,47.56,3,1,15,1,1,3,4.376,3.0
338,compound-339,O=C(Oc1ccccc1)c1ccccc1O,2.6114000000000006,46.53,2,2,16,2,1,3,5.259,3.0
193,compound-194,CNC(=O)Oc1ccc(N(C)C)c(C)c1,1.77922,41.57,2,1,15,1,1,3,5.029,3.0
51,compound-52,O=[N+]([O-])c1ccc([N+](=O)[O-])c(O)c1,1.2086000000000003,106.51000000000002,2,1,13,1,1,5,4.74,3.0
277,compound-278,C=Cc1ccccc1,2.3296,0.0,1,1,8,1,0,0,4.41,3.0
294,compound-295,CCc1cccc(CC)c1N(COC)C(=O)CCl,2.9871000000000016,29.54,6,1,18,1,0,2,4.733,3.0
310,compound-311,O=[N+]([O-])c1ccc(O)cc1C(F)(F)F,2.3192000000000004,63.370000000000005,1,1,14,1,1,3,4.355,3.0
243,compound-244,C=CC(=O)OCCO,-0.2921,46.53,3,0,8,0,1,3,4.384,3.0
155,compound-156,CCCCCCOC(C)=O,2.1298000000000004,26.3,5,0,10,0,0,2,4.516,3.0
308,compound-309,CN(C)c1ccc(/C=C/C=O)cc1,1.9647,20.31,3,1,13,1,0,2,4.473,3.0
298,compound-299,Fc1ccc(Oc2ccc(F)cc2)cc1,3.757100000000002,9.23,2,2,15,2,0,1,5.261,3.0
302,compound-303,Clc1cccc(Cl)c1C(Cl)Cl,4.469600000000001,0.0,1,1,11,1,0,0,5.375,3.0
208,compound-209,BrCCCBr,2.166300000000001,0.0,2,0,5,0,0,0,4.985,3.0
106,compound-107,COc1cccc(C=O)c1O,1.2133,46.53,2,1,11,1,1,3,4.801,3.0
108,compound-109,CCCCCC(=O)OCC,2.1298000000000004,26.3,5,0,10,0,0,2,4.21,3.0
315,compound-316,O=Cc1c(F)c(F)c(F)c(F)c1F,2.1946000000000003,17.07,1,1,13,1,0,1,5.251,3.0
235,compound-236,C=CC(=O)OC[C@H](C)O,0.0963999999999998,46.53,3,0,9,0,1,3,4.59,3.0
161,compound-162,c1cc2c3c(cccc3c1)CC2,2.938400000000001,0.0,0,2,12,3,0,0,4.95,3.0
120,compound-121,O=Cc1ccccc1F,1.6382,17.07,1,1,9,1,0,1,4.964,3.0
51,compound-52,O=[N+]([O-])c1ccc([N+](=O)[O-])c(O)c1,1.2086000000000003,106.51000000000002,2,1,13,1,1,5,4.74,3.0
174,compound-175,C=CC(=O)OCC(C)C,1.3716000000000002,26.3,3,0,9,0,0,2,4.786,3.0
250,compound-251,COC(=O)c1ccc(C(=O)OC)c([N+](=O)[O-])c1,1.168,95.74,3,1,17,1,0,6,4.564,3.0
315,compound-316,O=Cc1c(F)c(F)c(F)c(F)c1F,2.1946000000000003,17.07,1,1,13,1,0,1,5.251,3.0
270,compound-271,CCC(C)(C)c1ccc(O)cc1,3.079800000000001,20.23,2,1,12,1,1,1,4.801,3.0
34,compound-35,Clc1cccc(Cl)c1,2.9934000000000003,0.0,0,1,8,1,0,0,4.263,3.0
312,compound-313,Oc1ccc(/N=N/c2ccccc2)cc1,3.8076000000000025,44.95,2,2,15,2,1,3,5.229,3.0
13,compound-14,CCCCOP(=O)(OCCCC)OCCCC,4.544600000000004,44.760000000000005,12,0,17,0,0,4,4.449,3.0
32,compound-33,Brc1ccsc1,2.5106,0.0,0,1,6,1,0,1,4.421,3.0
312,compound-313,Oc1ccc(/N=N/c2ccccc2)cc1,3.8076000000000025,44.95,2,2,15,2,1,3,5.229,3.0
246,compound-247,COc1cccc(C=O)c1O,1.2133,46.53,2,1,11,1,1,3,4.3209,3.0
38,compound-39,Oc1c(Br)cc(Br)cc1Br,3.6797,20.23,0,1,10,1,1,1,4.703,3.0
301,compound-302,Cc1ccc(Cl)c(Cl)c1,3.301820000000001,0.0,0,1,9,1,0,0,4.743,3.0
32,compound-33,Brc1ccsc1,2.5106,0.0,0,1,6,1,0,1,4.421,3.0
145,compound-146,CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,3.0869000000000018,32.34,1,1,14,1,1,1,4.215,3.0
145,compound-146,CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,3.0869000000000018,32.34,1,1,14,1,1,1,4.215,3.0
139,compound-140,CC(C)(C)c1ccc(O)cc1,2.689700000000001,20.23,0,1,11,1,1,1,4.465,3.0
23,compound-24,ClC(Cl)C(Cl)(Cl)Cl,3.1603000000000003,0.0,0,0,7,0,0,0,4.429,3.0
368,compound-369,Brc1ccccc1Br,3.2116000000000007,0.0,0,1,8,1,0,0,4.764,3.0
354,compound-355,CCCCCC,2.5866000000000007,0.0,3,0,6,0,0,0,4.538,3.0
161,compound-162,c1cc2c3c(cccc3c1)CC2,2.938400000000001,0.0,0,2,12,3,0,0,4.95,3.0
118,compound-119,N#Cc1cc(I)c(O)c(I)c1,2.4730799999999995,44.02,0,1,11,1,1,2,4.737,3.0
27,compound-28,C=C[C@](C)(O)CC/C=C(/C)CCC=C(C)C,4.396300000000004,20.23,7,0,16,0,1,1,5.192,3.0
281,compound-282,CCC(=O)Nc1ccc(Cl)c(Cl)c1,3.3419000000000016,29.1,2,1,13,1,1,1,4.405,3.0
277,compound-278,C=Cc1ccccc1,2.3296,0.0,1,1,8,1,0,0,4.41,3.0
40,compound-41,Clc1ccc(Cl)c(Cl)c1,3.6468000000000007,0.0,0,1,9,1,0,0,4.783,3.0
140,compound-141,CC(=O)c1ccc(Cl)c(Cl)c1Cl,3.849400000000001,17.07,1,1,12,1,0,1,5.048,3.0
139,compound-140,CC(C)(C)c1ccc(O)cc1,2.689700000000001,20.23,0,1,11,1,1,1,4.465,3.0
193,compound-194,CNC(=O)Oc1ccc(N(C)C)c(C)c1,1.77922,41.57,2,1,15,1,1,3,5.029,3.0
103,compound-104,CC(=O)c1ccc(Cl)cc1Cl,3.196000000000001,17.07,1,1,11,1,0,1,4.208,3.0
243,compound-244,C=CC(=O)OCCO,-0.2921,46.53,3,0,8,0,1,3,4.384,3.0
312,compound-313,Oc1ccc(/N=N/c2ccccc2)cc1,3.8076000000000025,44.95,2,2,15,2,1,3,5.229,3.0
151,compound-152,CCCCOC(=O)c1ccccc1C(=O)OCCCC,3.600400000000003,52.60000000000001,8,1,20,1,0,4,5.445,3.0
344,compound-345,Oc1ccccc1-c1ccccc1,3.059200000000001,20.23,1,2,13,2,1,1,4.442,3.0
172,compound-173,C#C[C@H](O)CCCC,1.1707,20.23,3,0,8,0,1,1,4.804,3.0
362,compound-363,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1,3.5847200000000026,53.47,7,1,19,1,0,6,4.513,3.0
309,compound-310,O=Cc1cccc(C(F)(F)F)c1,2.517900000000001,17.07,1,1,12,1,0,1,5.275,3.0
323,compound-324,CC(=O)/C=C/C1=C(C)CCCC1(C)C,3.6582000000000026,17.07,2,0,14,1,0,1,4.577,3.0
145,compound-146,CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,3.0869000000000018,32.34,1,1,14,1,1,1,4.215,3.0
250,compound-251,COC(=O)c1ccc(C(=O)OC)c([N+](=O)[O-])c1,1.168,95.74,3,1,17,1,0,6,4.564,3.0
344,compound-345,Oc1ccccc1-c1ccccc1,3.059200000000001,20.23,1,2,13,2,1,1,4.442,3.0
349,compound-350,CC(C)SSC(C)C,3.184600000000001,0.0,3,0,8,0,0,2,4.257,3.0
185,compound-186,CCCCOC(=O)CCC(=O)OCCCC,2.4532000000000007,52.60000000000001,9,0,16,0,0,4,4.713,3.0
237,compound-238,OCC(Cl)(Cl)Cl,1.3489,20.23,0,0,6,0,1,1,2.699,1.0
296,compound-297,COCCN,-0.4084999999999998,35.25,2,0,5,0,1,2,2.156,1.0
192,compound-193,N#Cc1ccccn1,0.95328,36.68,0,1,8,1,0,2,2.157,1.0
116,compound-117,CCOC(CN(C)CC(OCC)OCC)OCC,1.7163999999999997,40.16,12,0,18,0,0,5,2.618,1.0
254,compound-255,COC(C)(C)C,1.4313,9.23,0,0,6,0,0,1,2.118,1.0
39,compound-40,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,0.7003999999999997,75.27000000000001,2,1,17,2,2,3,2.681,1.0
374,compound-375,CC(=O)c1ccncc1,1.2842,29.96,1,1,9,1,0,2,2.858,1.0
141,compound-142,CCC(C)(O)CC,1.5574,20.23,2,0,7,0,1,1,2.182,1.0
237,compound-238,OCC(Cl)(Cl)Cl,1.3489,20.23,0,0,6,0,1,1,2.699,1.0
361,compound-362,CCc1ccccn1,1.644,12.89,1,1,8,1,0,1,2.413,1.0
136,compound-137,CC1(C)CCC(C)(C)O1,2.354,9.23,0,0,9,1,0,1,2.883,1.0
167,compound-168,C#C[C@](C)(O)CC,0.7806,20.23,1,0,7,0,1,1,1.906,1.0
84,compound-85,NC(=O)C(Cl)Cl,0.2754,43.09,1,0,6,0,1,1,2.725,1.0
84,compound-85,NC(=O)C(Cl)Cl,0.2754,43.09,1,0,6,0,1,1,2.725,1.0
169,compound-170,CCCCCO,1.1689,20.23,3,0,6,0,1,1,2.272,1.0
307,compound-308,CC(=O)OC(C)(C)C,1.348,26.3,0,0,8,0,0,2,2.551,1.0
233,compound-234,CC(=O)C(C)C,1.2314,17.07,1,0,6,0,0,1,2.0,1.0
245,compound-246,c1ccc(CC2=NCCN2)cc1,1.2308,24.39,2,1,12,2,1,2,2.745,1.0
169,compound-170,CCCCCO,1.1689,20.23,3,0,6,0,1,1,2.272,1.0
7,compound-8,ClCCCl,1.464,0.0,1,0,4,0,0,0,2.863,1.0
159,compound-160,CC/C=C\CCO,1.335,20.23,3,0,7,0,1,1,2.42,1.0
307,compound-308,CC(=O)OC(C)(C)C,1.348,26.3,0,0,8,0,0,2,2.551,1.0
1,compound-2,NC(=O)c1ccccc1,0.7855000000000001,43.09,1,1,9,1,1,1,2.263,1.0
169,compound-170,CCCCCO,1.1689,20.23,3,0,6,0,1,1,2.272,1.0
257,compound-258,NC(=O)c1c(Cl)cccc1Cl,2.0923,43.09,1,1,11,1,1,1,2.608,1.0
194,compound-195,CC/C=C/CCO,1.335,20.23,3,0,7,0,1,1,2.568,1.0
236,compound-237,OC1CCCCC1,1.3114,20.23,0,0,7,1,1,1,2.153,1.0
1,compound-2,NC(=O)c1ccccc1,0.7855000000000001,43.09,1,1,9,1,1,1,2.263,1.0
369,compound-370,OC(C(F)(F)F)C(F)(F)F,1.4718999999999995,20.23,0,0,10,0,1,1,2.839,1.0
141,compound-142,CCC(C)(O)CC,1.5574,20.23,2,0,7,0,1,1,2.182,1.0
210,compound-211,Oc1cccnc1Cl,1.4406,33.120000000000005,0,1,8,1,1,2,2.319,1.0
88,compound-89,CC(C)N(CCO)C(C)C,1.0975,23.47,4,0,10,0,1,2,2.859,1.0
361,compound-362,CCc1ccccn1,1.644,12.89,1,1,8,1,0,1,2.413,1.0
159,compound-160,CC/C=C\CCO,1.335,20.23,3,0,7,0,1,1,2.42,1.0
374,compound-375,CC(=O)c1ccncc1,1.2842,29.96,1,1,9,1,0,2,2.858,1.0
257,compound-258,NC(=O)c1c(Cl)cccc1Cl,2.0923,43.09,1,1,11,1,1,1,2.608,1.0
178,compound-179,N#Cc1ccccn1,0.95328,36.68,0,1,8,1,0,2,2.04915,1.0
288,compound-289,CC(=O)c1cccn1C,1.2277,22.0,1,1,9,1,0,2,2.895,1.0
184,compound-185,c1ccncc1,1.0816,12.89,0,1,6,1,0,1,2.9,1.0
364,compound-365,CC(=O)c1ccccc1,1.8892,17.07,1,1,9,1,0,1,2.87,1.0
252,compound-253,C[C@H]1CNC[C@H](C)O1,0.3832,21.26,0,0,8,1,1,2,2.474,1.0
188,compound-189,Cc1ccc(N)cc1,1.57722,26.02,0,1,8,1,1,1,2.827,1.0
369,compound-370,OC(C(F)(F)F)C(F)(F)F,1.4718999999999995,20.23,0,0,10,0,1,1,2.839,1.0
132,compound-133,CCCCC(C)=O,1.7656,17.07,3,0,7,0,0,1,2.37,1.0
116,compound-117,CCOC(CN(C)CC(OCC)OCC)OCC,1.7163999999999997,40.16,12,0,18,0,0,5,2.618,1.0
271,compound-272,CCC(=O)CC,1.3755,17.07,2,0,6,0,0,1,1.747,1.0
291,compound-292,c1cc[nH]c1,1.0147,15.79,0,1,5,1,1,0,2.504,1.0
257,compound-258,NC(=O)c1c(Cl)cccc1Cl,2.0923,43.09,1,1,11,1,1,1,2.608,1.0
333,compound-334,CCNCCO,-0.4118000000000001,32.26,3,0,6,0,2,2,1.78,1.0
296,compound-297,COCCN,-0.4084999999999998,35.25,2,0,5,0,1,2,2.156,1.0
358,compound-359,C=C(C)C(=O)OCCO,0.098,46.53,3,0,9,0,1,3,2.759,1.0
7,compound-8,ClCCCl,1.464,0.0,1,0,4,0,0,0,2.863,1.0
234,compound-235,CC(C)CO,0.6347,20.23,1,0,5,0,1,1,1.714,1.0
291,compound-292,c1cc[nH]c1,1.0147,15.79,0,1,5,1,1,0,2.504,1.0
28,compound-29,NC(=O)c1ccccc1N,0.3676999999999998,69.11,1,1,10,1,2,2,2.537,1.0
141,compound-142,CCC(C)(O)CC,1.5574,20.23,2,0,7,0,1,1,2.182,1.0
69,compound-70,Cc1cccnc1,1.39002,12.89,0,1,7,1,0,1,2.81,1.0
237,compound-238,OCC(Cl)(Cl)Cl,1.3489,20.23,0,0,6,0,1,1,2.699,1.0
135,compound-136,ClCCl,1.4215,0.0,0,0,3,0,0,0,2.41,1.0
15,compound-16,CC(C)[C@H](C)N,0.9895999999999998,26.02,1,0,6,0,1,1,2.487,1.0
178,compound-179,N#Cc1ccccn1,0.95328,36.68,0,1,8,1,0,2,2.04915,1.0
369,compound-370,OC(C(F)(F)F)C(F)(F)F,1.4718999999999995,20.23,0,0,10,0,1,1,2.839,1.0
111,compound-112,CCN1C(=O)CC(=O)N(CC)C1=S,0.3719999999999999,40.620000000000005,2,0,13,1,0,3,1.647,1.0
289,compound-290,CCCCN,0.7452000000000001,26.02,2,0,5,0,1,1,2.437,1.0
361,compound-362,CCc1ccccn1,1.644,12.89,1,1,8,1,0,1,2.413,1.0
69,compound-70,Cc1cccnc1,1.39002,12.89,0,1,7,1,0,1,2.81,1.0
179,compound-180,Cc1ccccn1,1.39002,12.89,0,1,7,1,0,1,2.016,1.0
307,compound-308,CC(=O)OC(C)(C)C,1.348,26.3,0,0,8,0,0,2,2.551,1.0
1,compound-2,NC(=O)c1ccccc1,0.7855000000000001,43.09,1,1,9,1,1,1,2.263,1.0
137,compound-138,C[C@@H](O)CCl,0.6060000000000001,20.23,1,0,5,0,1,1,2.586,1.0
188,compound-189,Cc1ccc(N)cc1,1.57722,26.02,0,1,8,1,1,1,2.827,1.0
271,compound-272,CCC(=O)CC,1.3755,17.07,2,0,6,0,0,1,1.747,1.0
