,Compound ID,SMILES,LogP,TPSA,N_RotatableBonds,AromaticBonds,HeavyAtomCount,RingCount,N_H_Donors,N_H_Acceptors,pLC50,pLC50_bin
369,compound-370,OC(C(F)(F)F)C(F)(F)F,1.4718999999999995,20.23,0,0,10,0,1,1,2.839,1.0
28,compound-29,NC(=O)c1ccccc1N,0.3676999999999998,69.11,1,1,10,1,2,2,2.537,1.0
257,compound-258,NC(=O)c1c(Cl)cccc1Cl,2.0923,43.09,1,1,11,1,1,1,2.608,1.0
374,compound-375,CC(=O)c1ccncc1,1.2842,29.96,1,1,9,1,0,2,2.858,1.0
39,compound-40,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,0.7003999999999997,75.27000000000001,2,1,17,2,2,3,2.681,1.0
271,compound-272,CCC(=O)CC,1.3755,17.07,2,0,6,0,0,1,1.747,1.0
230,compound-231,CC(C)(O)C(F)(F)C(F)F,1.6577,20.23,2,0,10,0,1,1,2.439,1.0
111,compound-112,CCN1C(=O)CC(=O)N(CC)C1=S,0.3719999999999999,40.620000000000005,2,0,13,1,0,3,1.647,1.0
134,compound-135,CC(C)C(O)C(C)C,1.6593,20.23,2,0,8,0,1,1,2.854,1.0
233,compound-234,CC(=O)C(C)C,1.2314,17.07,1,0,6,0,0,1,2.0,1.0
289,compound-290,CCCCN,0.7452000000000001,26.02,2,0,5,0,1,1,2.437,1.0
245,compound-246,c1ccc(CC2=NCCN2)cc1,1.2308,24.39,2,1,12,2,1,2,2.745,1.0
15,compound-16,CC(C)[C@H](C)N,0.9895999999999998,26.02,1,0,6,0,1,1,2.487,1.0
1,compound-2,NC(=O)c1ccccc1,0.7855000000000001,43.09,1,1,9,1,1,1,2.263,1.0
25,compound-26,COC(C)=O,0.1793,26.3,0,0,5,0,0,2,2.317,1.0
328,compound-329,OCCN(CCO)c1ccccc1,0.4775999999999998,43.7,5,1,13,1,2,3,2.392,1.0
252,compound-253,C[C@H]1CNC[C@H](C)O1,0.3832,21.26,0,0,8,1,1,2,2.474,1.0
15,compound-16,CC(C)[C@H](C)N,0.9895999999999998,26.02,1,0,6,0,1,1,2.487,1.0
328,compound-329,OCCN(CCO)c1ccccc1,0.4775999999999998,43.7,5,1,13,1,2,3,2.392,1.0
192,compound-193,N#Cc1ccccn1,0.95328,36.68,0,1,8,1,0,2,2.157,1.0
135,compound-136,ClCCl,1.4215,0.0,0,0,3,0,0,0,2.41,1.0
179,compound-180,Cc1ccccn1,1.39002,12.89,0,1,7,1,0,1,2.016,1.0
257,compound-258,NC(=O)c1c(Cl)cccc1Cl,2.0923,43.09,1,1,11,1,1,1,2.608,1.0
221,compound-222,CC(C)(C)CN,0.9912,26.02,0,0,6,0,1,1,2.264,1.0
83,compound-84,N#Cc1ccccn1,0.95328,36.68,0,1,8,1,0,2,2.5884,1.0
233,compound-234,CC(=O)C(C)C,1.2314,17.07,1,0,6,0,0,1,2.0,1.0
111,compound-112,CCN1C(=O)CC(=O)N(CC)C1=S,0.3719999999999999,40.620000000000005,2,0,13,1,0,3,1.647,1.0
196,compound-197,C#CCN(CC#C)CC#C,0.1880000000000001,3.24,3,0,10,0,0,1,2.647,1.0
280,compound-281,C#C[C@@](C)(O)C(C)C,1.0266,20.23,1,0,8,0,1,1,2.738,1.0
116,compound-117,CCOC(CN(C)CC(OCC)OCC)OCC,1.7163999999999997,40.16,12,0,18,0,0,5,2.618,1.0
39,compound-40,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,0.7003999999999997,75.27000000000001,2,1,17,2,2,3,2.681,1.0
111,compound-112,CCN1C(=O)CC(=O)N(CC)C1=S,0.3719999999999999,40.620000000000005,2,0,13,1,0,3,1.647,1.0
167,compound-168,C#C[C@](C)(O)CC,0.7806,20.23,1,0,7,0,1,1,1.906,1.0
369,compound-370,OC(C(F)(F)F)C(F)(F)F,1.4718999999999995,20.23,0,0,10,0,1,1,2.839,1.0
358,compound-359,C=C(C)C(=O)OCCO,0.098,46.53,3,0,9,0,1,3,2.759,1.0
245,compound-246,c1ccc(CC2=NCCN2)cc1,1.2308,24.39,2,1,12,2,1,2,2.745,1.0
141,compound-142,CCC(C)(O)CC,1.5574,20.23,2,0,7,0,1,1,2.182,1.0
132,compound-133,CCCCC(C)=O,1.7656,17.07,3,0,7,0,0,1,2.37,1.0
260,compound-261,Cc1ccncc1,1.39002,12.89,0,1,7,1,0,1,2.364,1.0
135,compound-136,ClCCl,1.4215,0.0,0,0,3,0,0,0,2.41,1.0
271,compound-272,CCC(=O)CC,1.3755,17.07,2,0,6,0,0,1,1.747,1.0
307,compound-308,CC(=O)OC(C)(C)C,1.348,26.3,0,0,8,0,0,2,2.551,1.0
169,compound-170,CCCCCO,1.1689,20.23,3,0,6,0,1,1,2.272,1.0
179,compound-180,Cc1ccccn1,1.39002,12.89,0,1,7,1,0,1,2.016,1.0
178,compound-179,N#Cc1ccccn1,0.95328,36.68,0,1,8,1,0,2,2.04915,1.0
369,compound-370,OC(C(F)(F)F)C(F)(F)F,1.4718999999999995,20.23,0,0,10,0,1,1,2.839,1.0
369,compound-370,OC(C(F)(F)F)C(F)(F)F,1.4718999999999995,20.23,0,0,10,0,1,1,2.839,1.0
369,compound-370,OC(C(F)(F)F)C(F)(F)F,1.4718999999999995,20.23,0,0,10,0,1,1,2.839,1.0
260,compound-261,Cc1ccncc1,1.39002,12.89,0,1,7,1,0,1,2.364,1.0
249,compound-250,Oc1cccnc1Br,1.5497,33.120000000000005,0,1,8,1,1,2,2.569,1.0
192,compound-193,N#Cc1ccccn1,0.95328,36.68,0,1,8,1,0,2,2.157,1.0
116,compound-117,CCOC(CN(C)CC(OCC)OCC)OCC,1.7163999999999997,40.16,12,0,18,0,0,5,2.618,1.0
260,compound-261,Cc1ccncc1,1.39002,12.89,0,1,7,1,0,1,2.364,1.0
0,compound-1,CCOC(C)=O,0.5694,26.3,1,0,6,0,0,2,2.583,1.0
178,compound-179,N#Cc1ccccn1,0.95328,36.68,0,1,8,1,0,2,2.04915,1.0
28,compound-29,NC(=O)c1ccccc1N,0.3676999999999998,69.11,1,1,10,1,2,2,2.537,1.0
69,compound-70,Cc1cccnc1,1.39002,12.89,0,1,7,1,0,1,2.81,1.0
169,compound-170,CCCCCO,1.1689,20.23,3,0,6,0,1,1,2.272,1.0
0,compound-1,CCOC(C)=O,0.5694,26.3,1,0,6,0,0,2,2.583,1.0
257,compound-258,NC(=O)c1c(Cl)cccc1Cl,2.0923,43.09,1,1,11,1,1,1,2.608,1.0
39,compound-40,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,0.7003999999999997,75.27000000000001,2,1,17,2,2,3,2.681,1.0
169,compound-170,CCCCCO,1.1689,20.23,3,0,6,0,1,1,2.272,1.0
84,compound-85,NC(=O)C(Cl)Cl,0.2754,43.09,1,0,6,0,1,1,2.725,1.0
291,compound-292,c1cc[nH]c1,1.0147,15.79,0,1,5,1,1,0,2.504,1.0
134,compound-135,CC(C)C(O)C(C)C,1.6593,20.23,2,0,8,0,1,1,2.854,1.0
39,compound-40,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,0.7003999999999997,75.27000000000001,2,1,17,2,2,3,2.681,1.0
230,compound-231,CC(C)(O)C(F)(F)C(F)F,1.6577,20.23,2,0,10,0,1,1,2.439,1.0
230,compound-231,CC(C)(O)C(F)(F)C(F)F,1.6577,20.23,2,0,10,0,1,1,2.439,1.0
210,compound-211,Oc1cccnc1Cl,1.4406,33.120000000000005,0,1,8,1,1,2,2.319,1.0
364,compound-365,CC(=O)c1ccccc1,1.8892,17.07,1,1,9,1,0,1,2.87,1.0
24,compound-25,N#CCCCCC#N,1.59396,47.58,3,0,8,0,0,2,1.75,1.0
252,compound-253,C[C@H]1CNC[C@H](C)O1,0.3832,21.26,0,0,8,1,1,2,2.474,1.0
237,compound-238,OCC(Cl)(Cl)Cl,1.3489,20.23,0,0,6,0,1,1,2.699,1.0
361,compound-362,CCc1ccccn1,1.644,12.89,1,1,8,1,0,1,2.413,1.0
249,compound-250,Oc1cccnc1Br,1.5497,33.120000000000005,0,1,8,1,1,2,2.569,1.0
188,compound-189,Cc1ccc(N)cc1,1.57722,26.02,0,1,8,1,1,1,2.827,1.0
28,compound-29,NC(=O)c1ccccc1N,0.3676999999999998,69.11,1,1,10,1,2,2,2.537,1.0
69,compound-70,Cc1cccnc1,1.39002,12.89,0,1,7,1,0,1,2.81,1.0
39,compound-40,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,0.7003999999999997,75.27000000000001,2,1,17,2,2,3,2.681,1.0
88,compound-89,CC(C)N(CCO)C(C)C,1.0975,23.47,4,0,10,0,1,2,2.859,1.0
221,compound-222,CC(C)(C)CN,0.9912,26.02,0,0,6,0,1,1,2.264,1.0
210,compound-211,Oc1cccnc1Cl,1.4406,33.120000000000005,0,1,8,1,1,2,2.319,1.0
67,compound-68,CC(C)(C)c1ccc(Oc2cccc(C=O)c2)cc1,4.588900000000004,26.3,3,2,19,2,0,2,5.837,4.0
211,compound-212,CCCCCCCCOc1ccccc1NC(C)=O,4.384300000000003,38.33,9,1,19,1,1,2,5.767,4.0
327,compound-328,Oc1cc(Cl)c(Cl)c(Cl)c1Cl,4.0058,20.23,0,1,11,1,1,1,5.752,4.0
158,compound-159,C=CCCCCCCC=C,3.6990000000000025,0.0,7,0,10,0,0,0,5.678,4.0
102,compound-103,O=Cc1cc(Br)cc(Br)c1O,2.7297,37.3,1,1,11,1,1,2,5.518,4.0
75,compound-76,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,4.718100000000002,40.58,6,1,18,1,0,5,6.042,4.0
327,compound-328,Oc1cc(Cl)c(Cl)c(Cl)c1Cl,4.0058,20.23,0,1,11,1,1,1,5.752,4.0
217,compound-218,C=Cc1ccc(C(C)(C)C)cc1,3.627100000000002,0.0,1,1,12,1,0,0,5.515,4.0
67,compound-68,CC(C)(C)c1ccc(Oc2cccc(C=O)c2)cc1,4.588900000000004,26.3,3,2,19,2,0,2,5.837,4.0
295,compound-296,CCCCCCCCCCCN,3.475900000000001,26.02,9,0,12,0,1,1,5.912,4.0
203,compound-204,c1ccc(SSc2ccccc2)cc1,4.486000000000002,0.0,3,2,14,2,0,2,6.298,4.0
258,compound-259,CCCCCCCCCc1ccc(O)cc1,4.685300000000004,20.23,8,1,16,1,1,1,6.2,4.0
102,compound-103,O=Cc1cc(Br)cc(Br)c1O,2.7297,37.3,1,1,11,1,1,2,5.518,4.0
102,compound-103,O=Cc1cc(Br)cc(Br)c1O,2.7297,37.3,1,1,11,1,1,2,5.518,4.0
259,compound-260,Clc1cc(Cl)c(Cl)cc1Cl,4.3002,0.0,0,1,10,1,0,0,5.801,4.0
217,compound-218,C=Cc1ccc(C(C)(C)C)cc1,3.627100000000002,0.0,1,1,12,1,0,0,5.515,4.0
44,compound-45,Clc1cc(Cl)c(Cl)c(Cl)c1Cl,4.9536,0.0,0,1,11,1,0,0,6.0,4.0
75,compound-76,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,4.718100000000002,40.58,6,1,18,1,0,5,6.042,4.0
259,compound-260,Clc1cc(Cl)c(Cl)cc1Cl,4.3002,0.0,0,1,10,1,0,0,5.801,4.0
22,compound-23,CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,5.420300000000004,18.46,8,1,18,1,0,5,6.161,4.0
251,compound-252,CCCCCCCCCCCC#N,4.430880000000004,23.79,9,0,13,0,0,1,5.625,4.0
217,compound-218,C=Cc1ccc(C(C)(C)C)cc1,3.627100000000002,0.0,1,1,12,1,0,0,5.515,4.0
12,compound-13,CCCCCCCCCCc1ccc(N)cc1,4.952000000000004,26.02,9,1,17,1,1,1,6.575,4.0
259,compound-260,Clc1cc(Cl)c(Cl)cc1Cl,4.3002,0.0,0,1,10,1,0,0,5.801,4.0
121,compound-122,CCO[P@@](=S)(Oc1ccc([N+](=O)[O-])cc1)c1ccccc1,3.645100000000002,61.6,6,2,21,2,0,5,6.613,4.0
329,compound-330,Oc1c(Br)c(Br)c(Br)c(Br)c1Br,5.204700000000001,20.23,0,1,12,1,1,1,6.72,4.0
54,compound-55,O=Cc1cccc(Oc2ccc(Cl)c(Cl)c2)c1,4.598200000000002,26.3,3,2,17,2,0,2,5.95,4.0
12,compound-13,CCCCCCCCCCc1ccc(N)cc1,4.952000000000004,26.02,9,1,17,1,1,1,6.575,4.0
365,compound-366,Clc1nc(Cl)c(Cl)c(Cl)c1Cl,4.348599999999999,12.89,0,1,11,1,0,1,5.728,4.0
319,compound-320,OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl,5.599500000000002,20.23,2,2,20,2,1,1,5.788,4.0
217,compound-218,C=Cc1ccc(C(C)(C)C)cc1,3.627100000000002,0.0,1,1,12,1,0,0,5.515,4.0
4,compound-5,C#C[C@H](O)CCCCC,1.5608,20.23,4,0,9,0,1,1,5.485,4.0
121,compound-122,CCO[P@@](=S)(Oc1ccc([N+](=O)[O-])cc1)c1ccccc1,3.645100000000002,61.6,6,2,21,2,0,5,6.613,4.0
295,compound-296,CCCCCCCCCCCN,3.475900000000001,26.02,9,0,12,0,1,1,5.912,4.0
251,compound-252,CCCCCCCCCCCC#N,4.430880000000004,23.79,9,0,13,0,0,1,5.625,4.0
327,compound-328,Oc1cc(Cl)c(Cl)c(Cl)c1Cl,4.0058,20.23,0,1,11,1,1,1,5.752,4.0
121,compound-122,CCO[P@@](=S)(Oc1ccc([N+](=O)[O-])cc1)c1ccccc1,3.645100000000002,61.6,6,2,21,2,0,5,6.613,4.0
265,compound-266,CCCCCCCCCCCCCN,4.256100000000004,26.02,11,0,14,0,1,1,6.484,4.0
171,compound-172,ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,4.7574,0.0,1,0,10,0,0,0,6.462,4.0
299,compound-300,BrC(Br)c1ccccc1C(Br)Br,5.263400000000002,0.0,2,1,12,1,0,0,5.985,4.0
299,compound-300,BrC(Br)c1ccccc1C(Br)Br,5.263400000000002,0.0,2,1,12,1,0,0,5.985,4.0
350,compound-351,CCCCCCCCCCCC(C)=O,4.496300000000004,17.07,10,0,14,0,0,1,5.742,4.0
90,compound-91,Nc1c(Cl)c(Cl)cc(Cl)c1Cl,3.8824,26.02,0,1,11,1,1,1,5.932,4.0
365,compound-366,Clc1nc(Cl)c(Cl)c(Cl)c1Cl,4.348599999999999,12.89,0,1,11,1,0,1,5.728,4.0
319,compound-320,OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl,5.599500000000002,20.23,2,2,20,2,1,1,5.788,4.0
319,compound-320,OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl,5.599500000000002,20.23,2,2,20,2,1,1,5.788,4.0
163,compound-164,c1ccc(-c2cccc(-c3ccccc3)n2)cc1,4.415600000000003,12.89,2,3,18,3,0,1,6.042,4.0
158,compound-159,C=CCCCCCCC=C,3.6990000000000025,0.0,7,0,10,0,0,0,5.678,4.0
329,compound-330,Oc1c(Br)c(Br)c(Br)c(Br)c1Br,5.204700000000001,20.23,0,1,12,1,1,1,6.72,4.0
329,compound-330,Oc1c(Br)c(Br)c(Br)c(Br)c1Br,5.204700000000001,20.23,0,1,12,1,1,1,6.72,4.0
158,compound-159,C=CCCCCCCC=C,3.6990000000000025,0.0,7,0,10,0,0,0,5.678,4.0
329,compound-330,Oc1c(Br)c(Br)c(Br)c(Br)c1Br,5.204700000000001,20.23,0,1,12,1,1,1,6.72,4.0
203,compound-204,c1ccc(SSc2ccccc2)cc1,4.486000000000002,0.0,3,2,14,2,0,2,6.298,4.0
121,compound-122,CCO[P@@](=S)(Oc1ccc([N+](=O)[O-])cc1)c1ccccc1,3.645100000000002,61.6,6,2,21,2,0,5,6.613,4.0
258,compound-259,CCCCCCCCCc1ccc(O)cc1,4.685300000000004,20.23,8,1,16,1,1,1,6.2,4.0
211,compound-212,CCCCCCCCOc1ccccc1NC(C)=O,4.384300000000003,38.33,9,1,19,1,1,2,5.767,4.0
365,compound-366,Clc1nc(Cl)c(Cl)c(Cl)c1Cl,4.348599999999999,12.89,0,1,11,1,0,1,5.728,4.0
265,compound-266,CCCCCCCCCCCCCN,4.256100000000004,26.02,11,0,14,0,1,1,6.484,4.0
22,compound-23,CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,5.420300000000004,18.46,8,1,18,1,0,5,6.161,4.0
45,compound-46,Oc1c(I)cc(I)cc1I,3.2060000000000004,20.23,0,1,10,1,1,1,5.591,4.0
203,compound-204,c1ccc(SSc2ccccc2)cc1,4.486000000000002,0.0,3,2,14,2,0,2,6.298,4.0
67,compound-68,CC(C)(C)c1ccc(Oc2cccc(C=O)c2)cc1,4.588900000000004,26.3,3,2,19,2,0,2,5.837,4.0
217,compound-218,C=Cc1ccc(C(C)(C)C)cc1,3.627100000000002,0.0,1,1,12,1,0,0,5.515,4.0
87,compound-88,O=[N+]([O-])c1c(Cl)cc(Cl)c([N+](=O)[O-])c1Cl,3.4632000000000005,86.28,2,1,15,1,0,4,6.087,4.0
67,compound-68,CC(C)(C)c1ccc(Oc2cccc(C=O)c2)cc1,4.588900000000004,26.3,3,2,19,2,0,2,5.837,4.0
190,compound-191,CCCCCCCCc1ccc(N)cc1,4.171800000000004,26.02,7,1,15,1,1,1,6.233,4.0
44,compound-45,Clc1cc(Cl)c(Cl)c(Cl)c1Cl,4.9536,0.0,0,1,11,1,0,0,6.0,4.0
265,compound-266,CCCCCCCCCCCCCN,4.256100000000004,26.02,11,0,14,0,1,1,6.484,4.0
319,compound-320,OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl,5.599500000000002,20.23,2,2,20,2,1,1,5.788,4.0
154,compound-155,CCCCOC(=O)c1ccc(C(=O)OCCCC)cc1,3.600400000000003,52.60000000000001,8,1,20,1,0,4,5.674,4.0
190,compound-191,CCCCCCCCc1ccc(N)cc1,4.171800000000004,26.02,7,1,15,1,1,1,6.233,4.0
295,compound-296,CCCCCCCCCCCN,3.475900000000001,26.02,9,0,12,0,1,1,5.912,4.0
87,compound-88,O=[N+]([O-])c1c(Cl)cc(Cl)c([N+](=O)[O-])c1Cl,3.4632000000000005,86.28,2,1,15,1,0,4,6.087,4.0
295,compound-296,CCCCCCCCCCCN,3.475900000000001,26.02,9,0,12,0,1,1,5.912,4.0
217,compound-218,C=Cc1ccc(C(C)(C)C)cc1,3.627100000000002,0.0,1,1,12,1,0,0,5.515,4.0
12,compound-13,CCCCCCCCCCc1ccc(N)cc1,4.952000000000004,26.02,9,1,17,1,1,1,6.575,4.0
211,compound-212,CCCCCCCCOc1ccccc1NC(C)=O,4.384300000000003,38.33,9,1,19,1,1,2,5.767,4.0
319,compound-320,OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl,5.599500000000002,20.23,2,2,20,2,1,1,5.788,4.0
158,compound-159,C=CCCCCCCC=C,3.6990000000000025,0.0,7,0,10,0,0,0,5.678,4.0
319,compound-320,OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl,5.599500000000002,20.23,2,2,20,2,1,1,5.788,4.0
67,compound-68,CC(C)(C)c1ccc(Oc2cccc(C=O)c2)cc1,4.588900000000004,26.3,3,2,19,2,0,2,5.837,4.0
121,compound-122,CCO[P@@](=S)(Oc1ccc([N+](=O)[O-])cc1)c1ccccc1,3.645100000000002,61.6,6,2,21,2,0,5,6.613,4.0
327,compound-328,Oc1cc(Cl)c(Cl)c(Cl)c1Cl,4.0058,20.23,0,1,11,1,1,1,5.752,4.0
75,compound-76,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,4.718100000000002,40.58,6,1,18,1,0,5,6.042,4.0
158,compound-159,C=CCCCCCCC=C,3.6990000000000025,0.0,7,0,10,0,0,0,5.678,4.0
22,compound-23,CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,5.420300000000004,18.46,8,1,18,1,0,5,6.161,4.0
154,compound-155,CCCCOC(=O)c1ccc(C(=O)OCCCC)cc1,3.600400000000003,52.60000000000001,8,1,20,1,0,4,5.674,4.0
171,compound-172,ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,4.7574,0.0,1,0,10,0,0,0,6.462,4.0
44,compound-45,Clc1cc(Cl)c(Cl)c(Cl)c1Cl,4.9536,0.0,0,1,11,1,0,0,6.0,4.0
190,compound-191,CCCCCCCCc1ccc(N)cc1,4.171800000000004,26.02,7,1,15,1,1,1,6.233,4.0
75,compound-76,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,4.718100000000002,40.58,6,1,18,1,0,5,6.042,4.0
44,compound-45,Clc1cc(Cl)c(Cl)c(Cl)c1Cl,4.9536,0.0,0,1,11,1,0,0,6.0,4.0
12,compound-13,CCCCCCCCCCc1ccc(N)cc1,4.952000000000004,26.02,9,1,17,1,1,1,6.575,4.0
329,compound-330,Oc1c(Br)c(Br)c(Br)c(Br)c1Br,5.204700000000001,20.23,0,1,12,1,1,1,6.72,4.0
54,compound-55,O=Cc1cccc(Oc2ccc(Cl)c(Cl)c2)c1,4.598200000000002,26.3,3,2,17,2,0,2,5.95,4.0
251,compound-252,CCCCCCCCCCCC#N,4.430880000000004,23.79,9,0,13,0,0,1,5.625,4.0
90,compound-91,Nc1c(Cl)c(Cl)cc(Cl)c1Cl,3.8824,26.02,0,1,11,1,1,1,5.932,4.0
44,compound-45,Clc1cc(Cl)c(Cl)c(Cl)c1Cl,4.9536,0.0,0,1,11,1,0,0,6.0,4.0
251,compound-252,CCCCCCCCCCCC#N,4.430880000000004,23.79,9,0,13,0,0,1,5.625,4.0
327,compound-328,Oc1cc(Cl)c(Cl)c(Cl)c1Cl,4.0058,20.23,0,1,11,1,1,1,5.752,4.0
